Country,Season,Islander,Age,Hometown,Day Entered,Day Left,Status
UK,4,Ellie Jones,22,Essex,26,33,Dumped
UK,4,Adam Collard,22,Newcastle,1,33,Dumped
UK,4,Alex Miller,28,Essex,26,33,Dumped
UK,4,Charlie Williams,24,Bath,26,30,Dumped
UK,4,Dean Overson,25,Burnley,26,30,Dumped
UK,4,Jordan Adefeyisan,23,Manchester,26,30,Dumped
UK,4,Savanna Darnell,22,Sheffield,26,30,Dumped
UK,4,Zara McDermott,21,Essex,15,25,Dumped
UK,4,Eyal Booker,22,London,1,25,Dumped
UK,4,Rosie Williams,26,South Wales,4,20,Dumped
UK,4,Charlie Frederick,23,Plymouth,8,13,Dumped
UK,4,Hayley Hughes,21,Liverpool,1,13,Dumped
UK,4,Niall Aslam,23,Coventry,1,9,Walked
UK,4,Kendall Rae-Knight,26,Blackpool,1,6,Dumped
UK,5,Amber Gill,21,Newcastle,1,58,Winner
UK,5,Greg O'Shea,24,Limerick,44,58,Winner
UK,5,Molly-Mae Hague,20,Hitchin,4,58,Runner-up
UK,5,Tommy Fury,20,Manchester,1,58,Runner-up
UK,5,India Reynolds,28,Reading,44,58,Third place
UK,5,Ovie Soko,28,London,26,58,Third place
UK,5,Curtis Pritchard,23,Whitchurch,1,58,Fourth place
UK,5,Maura Higgins,28,Ballymahon,10,58,Fourth place
UK,5,Anton Danyluk,24,Airdrie,1,56,Dumped
UK,5,Belle Hassan,21,Bromley,26,56,Dumped
UK,5,Anna Vakili,28,London,1,52,Dumped
UK,5,Jordan Mainoo-Hames,24,Manchester,14,52,Dumped
UK,5,Chris Taylor,28,Leicester,37,52,Dumped
UK,5,Harley Brash,20,Newcastle,44,52,Dumped
UK,5,Francesca Allen,23,Loughton,37,49,Dumped
UK,5,Michael Griffiths,27,Liverpool,1,49,Dumped
UK,5,Joanna Chimonides,22,London,26,42,Dumped
UK,5,Marvin Brooks,29,Poole,26,39,Dumped
UK,5,Amy Hart,26,Worthing,1,37,Walked
UK,5,George Rains,22,Saffron Walden,26,36,Dumped
UK,5,Lucie Donlan,21,Newquay,1,36,Dumped
UK,5,Danny Williams,21,Hull,7,36,Dumped
UK,5,Jourdan Riane Hammond,24,Essex,26,36,Dumped
UK,5,Dan Rose,21,Nuneaton,26,30,Dumped
UK,5,Dennon Lewis,22,Watford,26,30,Dumped
UK,5,Lavena Back,23,Croydon,26,30,Dumped
UK,5,Maria Wild,22,Cheltenham,26,30,Dumped
UK,5,Nabila Badda,29,London,26,30,Dumped
UK,5,Stevie Bradley,21,Isle of Man,26,30,Dumped
UK,5,Arabella Chi,28,London,18,25,Dumped
UK,5,Tom Walker,29,Leeds,14,25,Dumped
UK,5,Yewande Biala,23,Enfield,1,22,Dumped
UK,5,Joe Garratt,22,London,1,16,Dumped
UK,5,Elma Pazar,26,Essex,10,16,Dumped
UK,5,Sherif Lanre,20,London,1,9,Removed
UK,5,Callum Macleod,28,Bridgend,1,5,Dumped
UK,6,Finn Tapp,20,Milton Keynes,5,44,Winner
UK,6,Paige Turley,22,Fauldhouse,1,44,Winner
UK,6,Luke Trotman,22,Luton,12,44,Runner-up
UK,6,Siânnise Fudge,25,Bristol,1,44,Runner-up
UK,6,Demi Jones,21,Portsmouth,16,44,Third place
UK,6,Luke Mabbott,24,Redcar,12,44,Third place
UK,6,Ched Uzor,23,Bury St Edmunds,23,44,Fourth place
UK,6,Jess Gale,20,Cambridge,1,44,Fourth place
UK,6,Mike Boateng,24,London,1,41,Dumped
UK,6,Priscilla Anyabu,25,Battersea,23,41,Dumped
UK,6,Callum Jones,23,Manchester,1,38,Dumped
UK,6,Molly Smith,25,Manchester,23,38,Dumped
UK,6,Jamie Clayton,28,Edinburgh,31,38,Dumped
UK,6,Natalia Zoppa,20,Manchester,23,38,Dumped
UK,6,Shaughna Phillips,25,London,1,33,Dumped
UK,6,Eva Zapico,21,Bromley,23,30,Dumped
UK,6,Nas Majeed,23,London,1,30,Dumped
UK,6,Jordan Waobikeze,24,London,23,30,Dumped
UK,6,Rebecca Gormley,21,Newcastle,9,30,Dumped
UK,6,Alexi Eraclides,23,Essex,23,26,Dumped
UK,6,Biggs Chris,27,Glasgow,23,26,Dumped
UK,6,George Day,27,Southampton,23,26,Dumped
UK,6,Jade Affleck,25,Yarm,23,26,Dumped
UK,6,Jamie McCann,25,Stevenston,23,26,Dumped
UK,6,Josh Kempton,21,Camberley,23,26,Dumped
UK,6,Sophie Piper,21,Essex,1,22,Dumped
UK,6,Wallace Wilson,24,Inverness,16,22,Dumped
UK,6,Leanne Amaning,22,London,1,18,Dumped
UK,6,Connor Durman,25,Brighton,1,15,Dumped
UK,6,Connagh Howard,27,Cardiff,5,13,Dumped
UK,6,Eve Gale,20,Cambridge,1,6,Dumped
UK,6,Ollie Williams,23,Lanhydrock,1,4,Walked
UK,7,Liam Reardon,21,Merthyr Tydfil,4,58,Winner
UK,7,Millie Court,24,Romford,9,58,Winner
UK,7,Chloe Burrows,25,Bicester,1,58,Runner-up
UK,7,Toby Aromolaran,22,Chafford Hundred,1,58,Runner-up
UK,7,Faye Winter,26,Exeter,1,58,Third place
UK,7,Teddy Soares,26,Manchester,12,58,Third place
UK,7,Kaz Kamwi,26,Witham,1,58,Fourth place
UK,7,Tyler Cruickshank,26,London,23,58,Fourth place
UK,7,Jake Cornish,24,Weston-super-Mare,1,54,Walked
UK,7,Liberty Poole,21,Birmingham,1,54,Walked
UK,7,Aaron Simpson,24,Canterbury,42,52,Dumped
UK,7,Mary Bedford,22,Wakefield,29,52,Dumped
UK,7,Brett Staniland,27,Draycott,44,50,Dumped
UK,7,Priya Gopaldas,23,London,42,50,Dumped
UK,7,Matthew MacNabb,26,Downpatrick,29,45,Dumped
UK,7,Abigail Rawlings,27,Bournemouth,23,42,Dumped
UK,7,Dale Mehmet,24,Glasgow,29,42,Dumped
UK,7,Amy Day,25,West Molesey,29,38,Dumped
UK,7,Clarisse Juliette,23,London,29,38,Dumped
UK,7,Hugo Hammond,24,Alton,1,38,Dumped
UK,7,Sam Jackson,23,Clitheroe,29,38,Dumped
UK,7,Harry Young,24,Wishaw,29,32,Dumped
UK,7,Jack Barlow,26,Pett,29,32,Dumped
UK,7,Kaila Troy,28,Malahide,29,32,Dumped
UK,7,Lillie Haynes,22,South Shields,29,32,Dumped
UK,7,Medhy Malanda,24,Luton,29,32,Dumped
UK,7,Salma Naran,20,Dublin,29,32,Dumped
UK,7,Aaron Francis,24,London,1,28,Dumped
UK,7,Lucinda Strafford,21,Ditchling,9,28,Dumped
UK,7,Georgia Townend,28,Maldon,23,25,Dumped
UK,7,"Andrea-Jane ""AJ"" Bunker",28,Dunstable,17,23,Dumped
UK,7,Danny Bibby,25,Leigh,18,23,Dumped
UK,7,Sharon Gaffka,25,Didcot,1,19,Dumped
UK,7,Brad McClelland,26,Amble,1,16,Dumped
UK,7,Rachel Finni,29,Barnet,5,14,Dumped
UK,7,"Oliver ""Chuggs"" Wallis",23,Weybridge,4,6,Dumped
UK,7,Shannon Singh,22,Glenrothes,1,2,Dumped
UK,8,Davide Sanclimenti,27,Manchester,1,58,Winner
UK,8,Ekin-Su Cülcüloğlu,27,London,3,58,Winner
UK,8,Gemma Owen,19,Chester,1,58,Runner-up
UK,8,Luca Bish,23,Brighton,1,58,Runner-up
UK,8,Dami Hope,26,Dublin,1,58,Third place
UK,8,Indiyah Polack,23,London,1,58,Third place
UK,8,Andrew Le Page,27,Guernsey,1,58,Fourth place
UK,8,Tasha Ghouri,23,Thirsk,1,58,Fourth place
UK,8,Adam Collard,26,Newcastle,36,56,Dumped
UK,8,Paige Thorne,24,Swansea,1,56,Dumped
UK,8,Danica Taylor,21,Leicester,12,51,Dumped
UK,8,Jamie Allen,27,Preston,45,51,Dumped
UK,8,Deji Adeniyi,25,Bedford,26,49,Dumped
UK,8,Lacey Edwards,25,Swindon,45,49,Dumped
UK,8,Nathalia Campos,23,London,45,49,Dumped
UK,8,Reece Ford,23,Coventry,45,49,Dumped
UK,8,Billy Brown,23,Surrey,26,44,Dumped
UK,8,Summer Botwe,22,Hertfordshire,27,44,Dumped
UK,8,Coco Lodge,27,Surrey,27,39,Dumped
UK,8,Josh Le Grove,22,Halstead,26,39,Dumped
UK,8,Jacques O'Neill,23,Walney,7,37,Walked
UK,8,Chyna Mills,23,Leeds,27,35,Dumped
UK,8,Jay Younger,28,Edinburgh,9,35,Dumped
UK,8,Cheyanne Kerr,23,Barnsley,27,31,Dumped
UK,8,George Tasker,23,Cirencester,26,31,Dumped
UK,8,Jack Keating,23,Dublin,26,31,Dumped
UK,8,Jazmine Nichol,21,Newcastle,27,31,Dumped
UK,8,Mollie Salmon,23,Southampton,27,31,Dumped
UK,8,Samuel Agbiji,22,Manchester,26,31,Dumped
UK,8,Antigoni Buxton,26,London,17,25,Dumped
UK,8,Charlie Radnedge,28,London,17,25,Dumped
UK,8,Amber Beckford,24,London,1,15,Dumped
UK,8,Ikenna Ekwonna,23,Nottingham,1,15,Dumped
UK,8,Remi Lambert,22,Manchester,9,12,Dumped
UK,8,Afia Tonkmor,25,London,3,8,Dumped
UK,8,Liam Llewellyn,22,Newport,1,5,Walked
UK,9,Kai Fagan,24,Manchester,1,58,Winner
UK,9,Sanam Harrinanan,24,Bedford,29,58,Winner
UK,9,Lana Jenkins,25,Luton,1,58,Runner-up
UK,9,Ron Hall,25,Essex,1,58,Runner-up
UK,9,Samie Elishi,23,London,14,58,Third place
UK,9,Tom Clare,23,Barnsley,1,58,Third place
UK,9,Shaq Muhammad,24,London,1,58,Fourth place
UK,9,Tanya Manhenga,23,Liverpool,1,58,Fourth place
UK,9,Jessie Wynter,26,"Hobart, Australia",7,56,Dumped
UK,9,Will Young,23,Aylesbury,1,56,Dumped
UK,9,Casey O'Gorman,26,Tring,17,51,Dumped
UK,9,Rosie Seabrook,24,Bledlow Ridge,39,51,Dumped
UK,9,Claudia Fogarty,28,Blackburn,23,45,Dumped
UK,9,Keanan Brand,24,Wigan,39,45,Dumped
UK,9,Maxwell Samuda,23,London,28,45,Dumped
UK,9,Olivia Hawkins,27,Brighton,1,45,Dumped
UK,9,Martin Akinola,27,Dublin,28,40,Dumped
UK,9,Bayley Mummery,25,Addlestone,28,32,Dumped
UK,9,Cynthia Otseh-Taiwo,25,London,29,32,Dumped
UK,9,Frankie Davey,22,Ipswich,28,32,Dumped
UK,9,Kain Reed,21,Gateshead,28,32,Dumped
UK,9,Layla Al-Momani,28,London,29,32,Dumped
UK,9,Lydia Karakyriakou,22,Glasgow,29,32,Dumped
UK,9,Lynda Flix,22,Salford,29,32,Dumped
UK,9,Ryan Weekley,22,Nottingham,28,32,Dumped
UK,9,Sammy James,27,Leicester,29,32,Dumped
UK,9,Ellie Spence,25,Norwich,10,26,Dumped
UK,9,Jordan Odofin,28,London,17,26,Dumped
UK,9,Tanyel Revan,26,London,1,24,Dumped
UK,9,Aaron Waters,25,"Melbourne, Australia",7,19,Dumped
UK,9,Spencer Wilks,24,Bournemouth,10,19,Dumped
UK,9,Zara Lackenby-Brown,25,London,3,16,Dumped
UK,9,Anna-May Robey,20,Swansea,1,9,Dumped
UK,9,Haris Namani,21,Doncaster,1,9,Dumped
UK,9,David Salako,24,Little Oakley,3,5,Dumped
UK,10,Jess Harding,22,Uxbridge,1,58,Winner
UK,10,Sammy Root,22,Dartford,4,58,Winner
UK,10,Lochan Nowacki,25,Bermondsey,26,58,Runner-up
UK,10,Whitney Adebayo,25,Camden,3,58,Runner-up
UK,10,Ella Thomas,23,Glasgow,1,58,Third place
UK,10,Tyrique Hyde,24,Grays,1,58,Third place
UK,10,Molly Marsh,21,Doncaster,1,19,Dumped
UK,10,Molly Marsh,21,Doncaster,27,58,Fourth place
UK,10,Zachariah Noble,25,Lewisham,1,58,Fourth place
UK,10,Ella Barnes,23,Ashford,39,56,Dumped
UK,10,Mitchel Taylor,26,Sheffield,1,56,Dumped
UK,10,Abi Moores,25,Hampshire,27,52,Dumped
UK,10,Scott van-der-Sluis,22,Connah's Quay,11,52,Dumped
UK,10,Kady McDermott,27,Stevenage,19,44,Dumped
UK,10,"Ousman ""Ouzy"" See",28,Edinburgh,26,44,Dumped
UK,10,Amber Wise,19,Kensington,27,44,Dumped
UK,10,Josh Brocklebank,26,Brentwood,39,44,Dumped
UK,10,Leah Taylor,27,Manchester,8,38,Dumped
UK,10,Montel McKenzie,25,London,16,38,Dumped
UK,10,Catherine Agbaje,22,Tyrrelstown,1,38,Dumped
UK,10,Elom Ahlijah-Wilson,22,Enfield,26,38,Dumped
UK,10,Benjamin Noel,26,London,26,31,Dumped
UK,10,Danielle Mazhindu,25,Liverpool,27,31,Dumped
UK,10,"Gabrielle ""Gabby"" Jeffery",24,Tyneside,27,31,Dumped
UK,10,Kodie Murphy,20,Birmingham,26,31,Dumped
UK,10,Tink Reading,26,Birmingham,27,31,Dumped
UK,10,Zachary Ashford,27,Manchester,26,31,Dumped
UK,10,Mal Nicol,25,Edinburgh,16,23,Dumped
UK,10,Mehdi Edno,26,"Bordeaux, France",1,23,Dumped
UK,10,André Furtado,21,Dudley,1,12,Dumped
UK,10,Charlotte Sumner,30,Bournemouth,8,12,Dumped
UK,10,Ruchee Gurung,24,Sutton,1,9,Dumped
UK,10,George Fensom,24,Bedford,1,5,Dumped
UK,11,Josh Oyinsan,29,South London,36,58,Winner
UK,11,"Michelle ""Mimii"" Ngulube",24,Portsmouth,1,58,Winner
UK,11,Ciaran Davies,21,Pencoed,1,58,Runner-up
UK,11,Nicole Samuel,24,Aberdare,1,58,Runner-up
UK,11,Matilda Draper,24,Beckenham,17,58,Third place
UK,11,Sean Stone,24,Hertford,1,58,Third place
UK,11,Ayo Odukoya,25,Canning Town,1,58,Fourth place
UK,11,Jess Spencer,25,London,29,58,Fourth place
UK,11,Jessy Potts,25,Leicester,23,55,Dumped
UK,11,Joey Essex,33,Chigwell,1,55,Dumped
UK,11,Grace Jackson,25,Manchester,12,52,Dumped
